
dropbear
dropbear-dbclient
traefik
dnsmasq
squid
kubo
tor
wireguard-tools
ca-certificates
7zip
certbot
tshark
snort
nmap
suricata
rsyslog
lxc
bridge
lxcfs
lxc-download
xz
lxc-lvm
lxc-client
lxc-bridge
iptables
python3
py3-pip
android-tools
cmake
lighttpd
openssl
php
postgresql
postgresql-client
php-pgsql
postfix
dovecot
clamav
clamsmtp
gross
clamsmtp
rrdtool
rrdcollect
fcgi
php-cgi
php-mysql
mysql
mysql-client
php-zlib
php-pdo_mysql
openvswitch
hfsprogs
squashfs-tools
f2fs-tools
jfsutils
drbd-utils
lsblk
vxlan
lvm2
xfsprogs
iscsitarget
iscsitarget-grsec
dosfstools
e2fsprogs-extra
ntfs-3g-progs
exfatprogs
openresolv
samba
winbind
heimdal
freeradius-postgres
kamailio
kamailio-presence
kamailio-postgres
kamailio-json
unbound
avahi
ngircd
zfs
docker
ppp
avahi-tools
openldap
openldap-back-mdb
openldap-clients
vnstat
rsync
mqtt-exec
qemu
qemu-img
qemu-system-x86_64
cgit
git
ufw
bonding
bridge
